ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ENST00000625845.1:snoRNA:SNORD3C-202	4	4	0.25476190476190474	0.0
ENST00000631292.1:snoRNA:SNORD3B-1-202	4	4	0.25476190476190474	0.0
ENST00000571722.3:snoRNA:SNORD3B-2-001	4	4	0.25476190476190474	0.0
ENST00000516507.1:misc_RNA:RNY4-201	2	2	0.25396825396825395	0.0
ENST00000364600.1:misc_RNA:RNY4P7-201	2	2	0.25396825396825395	0.0
ENST00000335648.3:antisense:ZNF436-AS1-201	2	2	0.25396825396825395	0.0
ENST00000365571.2:misc_RNA:RNY4P10-201	2	2	0.25396825396825395	0.0
ENST00000364908.1:misc_RNA:Y_RNA.295-201	2	2	0.25396825396825395	0.0
ENST00000364535.1:misc_RNA:Y_RNA.251-201	2	2	0.25396825396825395	0.0
ENST00000516678.1:misc_RNA:RNY4P20-201	2	2	0.25396825396825395	0.0
ENST00000603719.1:processed_pseudogene:MTND5P10-001	1	1	0.25	0.0
ENST00000458891.1:snoRNA:SNORD13P1-201	1	1	0.25	0.0
ENST00000459097.1:snoRNA:snoU13.13-201	1	1	0.25	0.0
ENST00000459157.1:snoRNA:snoU13.1-201	1	1	0.25	0.0
ENST00000613296.4:protein_coding:ALMS1-001	1	1	0.25	0.0
ENST00000484298.5:protein_coding:ALMS1-002	1	1	0.25	0.0
ENST00000423048.5:nonsense_mediated_decay:ALMS1-003	1	1	0.25	0.0
ENST00000459299.1:snoRNA:SNORD13-201	1	1	0.25	0.0
ENST00000502851.1:processed_pseudogene:MTND5P12-001	1	1	0.25	0.0
ENST00000614410.4:protein_coding:ALMS1-008	1	1	0.25	0.0
ENST00000630092.1:snoRNA:SNORD3D-202	3	3	0.18333333333333335	0.0
ENST00000573866.2:lincRNA:RP11-160E2.6-001	3	3	0.18333333333333335	0.0
ENST00000619178.1:snoRNA:SNORD3D-201	3	3	0.18333333333333335	0.0
ENST00000535923.5:protein_coding:PHB2-001	1	1	0.16666666666666666	0.0
ENST00000537646.5:retained_intron:PHB2-009	1	1	0.16666666666666666	0.0
ENST00000399433.6:protein_coding:PHB2-201	1	1	0.16666666666666666	0.0
ENST00000543465.5:retained_intron:PHB2-002	1	1	0.16666666666666666	0.0
ENST00000546111.5:protein_coding:PHB2-008	1	1	0.16666666666666666	0.0
ENST00000542912.5:protein_coding:PHB2-003	1	1	0.16666666666666666	0.0
ENST00000355839.10:protein_coding:MMS19-201	1	1	0.14285714285714285	0.0
ENST00000495415.5:retained_intron:MMS19-021	1	1	0.14285714285714285	0.0
ENST00000434538.5:protein_coding:MMS19-020	1	1	0.14285714285714285	0.0
ENST00000438925.6:protein_coding:MMS19-005	1	1	0.14285714285714285	0.0
ENST00000415383.5:nonsense_mediated_decay:MMS19-007	1	1	0.14285714285714285	0.0
ENST00000327238.14:protein_coding:MMS19-018	1	1	0.14285714285714285	0.0
ENST00000370782.6:protein_coding:MMS19-006	1	1	0.14285714285714285	0.0
ENST00000291839.9:protein_coding:ST6GALNAC6-201	1	1	0.125	0.0
ENST00000295743.8:protein_coding:EOMES-001	1	1	0.125	0.0
ENST00000264663.9:protein_coding:NNT-001	1	1	0.125	0.0
ENST00000364685.1:misc_RNA:Y_RNA.271-201	1	1	0.125	0.0
ENST00000485320.5:processed_transcript:ST6GALNAC6-009	1	1	0.125	0.0
ENST00000449599.3:protein_coding:EOMES-002	1	1	0.125	0.0
ENST00000365484.1:misc_RNA:RNY3-201	1	1	0.125	0.0
ENST00000422995.2:antisense:MORC2-AS1-001	1	1	0.125	0.0
ENST00000373144.7:protein_coding:ST6GALNAC6-008	1	1	0.125	0.0
ENST00000359862.8:protein_coding:TMEM25-201	1	1	0.125	0.0
ENST00000539799.5:protein_coding:NTM-202	1	1	0.125	0.0
ENST00000533627.5:retained_intron:TMEM25-007	1	1	0.125	0.0
ENST00000362540.1:misc_RNA:Y_RNA.27-201	1	1	0.125	0.0
ENST00000524725.5:protein_coding:TMEM25-002	1	1	0.125	0.0
ENST00000363220.1:misc_RNA:Y_RNA.110-201	1	1	0.125	0.0
ENST00000542456.5:protein_coding:ST6GALNAC6-202	1	1	0.125	0.0
ENST00000486913.3:antisense:CTC-340A15.2-001	1	1	0.125	0.0
ENST00000512016.1:processed_transcript:RP11-597D13.7-002	1	1	0.125	0.0
ENST00000373146.5:protein_coding:ST6GALNAC6-007	1	1	0.125	0.0
ENST00000373142.5:protein_coding:ST6GALNAC6-006	1	1	0.125	0.0
ENST00000374791.7:protein_coding:NTM-002	1	1	0.125	0.0
ENST00000374786.5:protein_coding:NTM-001	1	1	0.125	0.0
ENST00000371497.9:protein_coding:TSHZ2-001	1	1	0.125	0.0
ENST00000537989.5:protein_coding:BACH2-201	1	1	0.125	0.0
ENST00000423218.6:protein_coding:ITGA11-001	1	1	0.125	0.0
ENST00000363421.1:misc_RNA:Y_RNA.132-201	1	1	0.125	0.0
ENST00000526853.1:protein_coding:TMEM25-012	1	1	0.125	0.0
ENST00000313236.9:protein_coding:TMEM25-009	1	1	0.125	0.0
ENST00000411589.6:protein_coding:TMEM25-006	1	1	0.125	0.0
ENST00000533990.1:retained_intron:XRRA1-019	1	1	0.125	0.0
ENST00000373141.5:protein_coding:ST6GALNAC6-010	1	1	0.125	0.0
ENST00000622357.4:protein_coding:ST6GALNAC6-203	1	1	0.125	0.0
ENST00000257749.8:protein_coding:BACH2-003	1	1	0.125	0.0
ENST00000427481.6:protein_coding:NTM-201	1	1	0.125	0.0
ENST00000627092.1:misc_RNA:Y_RNA.845-201	1	1	0.125	0.0
ENST00000362710.1:misc_RNA:Y_RNA.48-201	1	1	0.125	0.0
ENST00000524522.5:retained_intron:TMEM25-005	1	1	0.125	0.0
ENST00000365274.1:misc_RNA:Y_RNA.335-201	1	1	0.125	0.0
ENST00000474900.5:processed_transcript:NTM-004	1	1	0.125	0.0
ENST00000354064.11:protein_coding:TMEM25-003	1	1	0.125	0.0
ENST00000362645.1:misc_RNA:Y_RNA.40-201	1	1	0.1111111111111111	0.0
ENST00000628694.1:misc_RNA:Y_RNA.826-201	1	1	0.1111111111111111	0.0
ENST00000544341.5:nonsense_mediated_decay:CCDC53-003	1	1	0.1	0.0
ENST00000545679.5:protein_coding:CCDC53-002	1	1	0.1	0.0
ENST00000535501.5:nonsense_mediated_decay:CCDC53-004	1	1	0.1	0.0
ENST00000326351.11:retained_intron:CCDC53-008	1	1	0.1	0.0
ENST00000540536.5:nonsense_mediated_decay:CCDC53-007	1	1	0.1	0.0
ENST00000500685.6:nonsense_mediated_decay:CCDC53-006	1	1	0.1	0.0
ENST00000536930.1:processed_transcript:CCDC53-011	1	1	0.1	0.0
ENST00000240079.10:protein_coding:CCDC53-001	1	1	0.1	0.0
ENST00000538761.5:nonsense_mediated_decay:CCDC53-010	1	1	0.1	0.0
ENST00000541569.5:retained_intron:CCDC53-009	1	1	0.1	0.0
ENST00000394800.6:protein_coding:MATR3-001	1	1	0.08333333333333333	0.0
ENST00000361059.7:protein_coding:MATR3-012	1	1	0.08333333333333333	0.0
ENST00000510056.5:protein_coding:MATR3-009	1	1	0.08333333333333333	0.0
ENST00000505625.5:retained_intron:MATR3-005	1	1	0.08333333333333333	0.0
ENST00000504203.5:protein_coding:MATR3-010	1	1	0.08333333333333333	0.0
ENST00000394805.7:protein_coding:MATR3-002	1	1	0.08333333333333333	0.0
ENST00000502499.5:protein_coding:MATR3-010	1	1	0.08333333333333333	0.0
ENST00000618441.4:protein_coding:MATR3-201	1	1	0.08333333333333333	0.0
ENST00000502422.5:retained_intron:MATR3-004	1	1	0.08333333333333333	0.0
ENST00000620916.2:protein_coding:MATR3-202	1	1	0.08333333333333333	0.0
ENST00000503811.5:protein_coding:MATR3-008	1	1	0.08333333333333333	0.0
ENST00000502929.5:protein_coding:MATR3-002	1	1	0.08333333333333333	0.0
ENST00000368825.7:protein_coding:TDRKH-004	1	1	0.07692307692307693	0.0
ENST00000525790.5:nonsense_mediated_decay:TDRKH-010	1	1	0.07692307692307693	0.0
ENST00000458431.6:protein_coding:TDRKH-009	1	1	0.07692307692307693	0.0
ENST00000486986.6:retained_intron:TDRKH-007	1	1	0.07692307692307693	0.0
ENST00000494725.6:retained_intron:TDRKH-014	1	1	0.07692307692307693	0.0
ENST00000530202.1:nonsense_mediated_decay:TDRKH-012	1	1	0.07692307692307693	0.0
ENST00000484421.5:processed_transcript:TDRKH-006	1	1	0.07692307692307693	0.0
ENST00000368822.5:protein_coding:TDRKH-005	1	1	0.07692307692307693	0.0
ENST00000368824.7:protein_coding:TDRKH-001	1	1	0.07692307692307693	0.0
ENST00000368827.10:protein_coding:TDRKH-002	1	1	0.07692307692307693	0.0
ENST00000526413.5:nonsense_mediated_decay:TDRKH-011	1	1	0.07692307692307693	0.0
ENST00000440583.6:protein_coding:TDRKH-201	1	1	0.07692307692307693	0.0
ENST00000526378.5:protein_coding:TDRKH-013	1	1	0.07692307692307693	0.0
ENST00000365668.1:snRNA:RNU4-2-201	1	1	0.07142857142857142	0.0
ENST00000542583.6:protein_coding:TMC5-006	1	1	0.07142857142857142	0.0
ENST00000410818.1:snRNA:RNU4-46P-201	1	1	0.07142857142857142	0.0
ENST00000363925.1:snRNA:RNU4-1-201	1	1	0.07142857142857142	0.0
ENST00000390880.2:snoRNA:U3.21-201	1	1	0.07142857142857142	0.0
ENST00000219821.9:protein_coding:TMC5-002	1	1	0.07142857142857142	0.0
ENST00000396229.6:protein_coding:TMC5-201	1	1	0.07142857142857142	0.0
ENST00000362764.1:snRNA:RNU4-79P-201	1	1	0.07142857142857142	0.0
ENST00000516080.1:snRNA:RNU4-49P-201	1	1	0.07142857142857142	0.0
ENST00000364383.1:snRNA:RNU4-10P-201	1	1	0.07142857142857142	0.0
ENST00000364758.1:snRNA:RNU4-7P-201	1	1	0.07142857142857142	0.0
ENST00000364314.1:snRNA:RNU4-68P-201	1	1	0.07142857142857142	0.0
ENST00000384579.1:snRNA:RNU4-70P-201	1	1	0.07142857142857142	0.0
ENST00000381414.8:protein_coding:TMC5-001	1	1	0.07142857142857142	0.0
ENST00000408534.2:snoRNA:U3.42-201	1	1	0.07142857142857142	0.0
ENST00000365598.1:snRNA:RNU4-17P-201	1	1	0.07142857142857142	0.0
ENST00000384486.2:snoRNA:U3.19-201	1	1	0.05	0.0
ENST00000365363.2:snoRNA:U3.16-201	1	1	0.05	0.0
ENST00000362796.2:snoRNA:U3.2-201	1	1	0.05	0.0
ENST00000362899.2:snoRNA:ACEA_U3.2-201	1	1	0.05	0.0
ENST00000627253.1:snoRNA:U3.57-201	1	1	0.05	0.0
ENST00000410794.1:snRNA:RNU2-7P-201	1	1	0.045454545454545456	0.0
ENST00000410695.1:snRNA:RNU2-37P-201	1	1	0.045454545454545456	0.0
ENST00000617785.1:snRNA:U2.3-201	1	1	0.045454545454545456	0.0
ENST00000410423.1:snRNA:RNU2-29P-201	1	1	0.045454545454545456	0.0
ENST00000613956.1:snRNA:U2.20-201	1	1	0.045454545454545456	0.0
ENST00000615427.1:snRNA:U2.9-201	1	1	0.045454545454545456	0.0
ENST00000410508.1:snRNA:RNU2-26P-201	1	1	0.045454545454545456	0.0
ENST00000618664.1:snRNA:RNU2-1-201	1	1	0.045454545454545456	0.0
ENST00000410694.1:snRNA:RNU2-48P-201	1	1	0.045454545454545456	0.0
ENST00000611544.1:snRNA:U2.15-201	1	1	0.045454545454545456	0.0
ENST00000411069.1:snRNA:RNU2-61P-201	1	1	0.045454545454545456	0.0
ENST00000516659.1:snRNA:RNU2-57P-201	1	1	0.045454545454545456	0.0
ENST00000410344.1:snRNA:RNU2-33P-201	1	1	0.045454545454545456	0.0
ENST00000613778.1:snRNA:U2.12-201	1	1	0.045454545454545456	0.0
ENST00000410878.1:snRNA:RNU2-68P-201	1	1	0.045454545454545456	0.0
ENST00000616535.1:snRNA:U2.2-201	1	1	0.045454545454545456	0.0
ENST00000618602.1:snRNA:U2.19-201	1	1	0.045454545454545456	0.0
ENST00000613119.1:snRNA:U2.16-201	1	1	0.045454545454545456	0.0
ENST00000619225.1:snRNA:U2.6-201	1	1	0.045454545454545456	0.0
ENST00000619465.1:snRNA:U2.5-201	1	1	0.045454545454545456	0.0
ENST00000620268.1:snRNA:U2.10-201	1	1	0.045454545454545456	0.0
ENST00000616345.1:snRNA:U2.11-201	1	1	0.045454545454545456	0.0
ENST00000531065.5:retained_intron:RPS2-003	1	1	0.03571428571428571	0.0
ENST00000343262.8:protein_coding:RPS2-001	1	1	0.03571428571428571	0.0
ENST00000494359.1:processed_pseudogene:RP11-452G18.2-001	1	1	0.03571428571428571	0.0
ENST00000438210.1:processed_pseudogene:RP3-342P20.2-001	1	1	0.03571428571428571	0.0
ENST00000478174.1:processed_pseudogene:CTD-2375G15.1-001	1	1	0.03571428571428571	0.0
ENST00000423464.1:processed_pseudogene:RP11-183G22.1-001	1	1	0.03571428571428571	0.0
ENST00000458332.1:processed_pseudogene:RPS2P46-001	1	1	0.03571428571428571	0.0
ENST00000443417.1:processed_pseudogene:RPS2P35-001	1	1	0.03571428571428571	0.0
ENST00000475555.1:processed_pseudogene:RP11-364L4.1-001	1	1	0.03571428571428571	0.0
ENST00000533186.5:protein_coding:RPS2-013	1	1	0.03571428571428571	0.0
ENST00000488803.1:processed_pseudogene:RPS2P5-001	1	1	0.03571428571428571	0.0
ENST00000393351.3:processed_pseudogene:RP5-1106E3.1-001	1	1	0.03571428571428571	0.0
ENST00000527109.5:retained_intron:RPS2-005	1	1	0.03571428571428571	0.0
ENST00000447334.1:processed_pseudogene:RPS2P7-001	1	1	0.03571428571428571	0.0
ENST00000402069.1:processed_pseudogene:RP3-337H4.6-001	1	1	0.03571428571428571	0.0
ENST00000527871.5:retained_intron:RPS2-004	1	1	0.03571428571428571	0.0
ENST00000534461.5:retained_intron:RPS2-014	1	1	0.03571428571428571	0.0
ENST00000526522.5:protein_coding:RPS2-006	1	1	0.03571428571428571	0.0
ENST00000526586.6:protein_coding:RPS2-015	1	1	0.03571428571428571	0.0
ENST00000532746.5:nonsense_mediated_decay:RPS2-012	1	1	0.03571428571428571	0.0
ENST00000476944.2:processed_pseudogene:RPS2P4-001	1	1	0.03571428571428571	0.0
ENST00000443009.2:processed_pseudogene:RP11-306I1.1-001	1	1	0.03571428571428571	0.0
ENST00000533872.5:retained_intron:RPS2-011	1	1	0.03571428571428571	0.0
ENST00000533161.5:retained_intron:RPS2-002	1	1	0.03571428571428571	0.0
ENST00000397318.4:processed_pseudogene:RPS2P55-001	1	1	0.03571428571428571	0.0
ENST00000400984.2:processed_pseudogene:RP11-122G18.7-001	1	1	0.03571428571428571	0.0
ENST00000529806.5:protein_coding:RPS2-008	1	1	0.03571428571428571	0.0
ENST00000449856.1:processed_pseudogene:AC022210.2-001	1	1	0.03571428571428571	0.0
